Log_ID,Date,Equipment_ID_Name,Maintenance_Type,Technician,Hours_Run_Since_Last_Maint,Observation_Remarks,Parts_Replaced,Downtime_Hours,Next_Scheduled_Maint
ML-1000,2026-01-01,Control Valve V-105,Preventive,A. Verma,1145,Seal replaced,Filter,0.25,2026-04-01
ML-1001,2026-01-04,Reciprocating Compressor C-301,Predictive,A. Verma,1532,No abnormality found,Filter,1.38,2026-04-04
ML-1002,2026-01-07,Reciprocating Compressor C-301,Corrective,N. Gupta,819,No abnormality found,Gasket,4.18,2026-04-07
ML-1003,2026-01-10,Gate Valve V-203,Emergency,P. Singh,326,Normal operation,Gasket,1.42,2026-04-10
ML-1004,2026-01-13,Pump P-102,Emergency,R. Kumar,1634,Minor leakage observed,Seal,0.77,2026-04-13
ML-1005,2026-01-16,Control Valve V-105,Emergency,A. Verma,1949,Pressure fluctuation noted,Gasket,1.35,2026-04-16
ML-1006,2026-01-19,Reciprocating Compressor C-301,Preventive,A. Verma,696,Seal replaced,None,0.1,2026-04-19
ML-1007,2026-01-22,Control Valve V-105,Preventive,P. Singh,63,Bearing noise detected,Bearing,0.54,2026-04-22
ML-1008,2026-01-25,Pump P-102,Corrective,P. Singh,141,Pressure fluctuation noted,Gasket,0.2,2026-04-25
ML-1009,2026-01-28,Pump P-102,Emergency,A. Verma,255,Normal operation,Gasket,0.3,2026-04-28
ML-1010,2026-01-31,Control Valve V-105,Corrective,S. Sharma,1845,Lubrication topped up,Filter,5.24,2026-05-01
ML-1011,2026-02-03,Gate Valve V-203,Emergency,S. Sharma,251,Lubrication topped up,Gasket,1.37,2026-05-04
ML-1012,2026-02-06,Control Valve V-105,Preventive,N. Gupta,769,Seal replaced,Bearing,1.16,2026-05-07
ML-1013,2026-02-09,Gate Valve V-203,Preventive,P. Singh,237,Vibration above threshold,Filter,0.23,2026-05-10
ML-1014,2026-02-12,Pump P-102,Preventive,R. Kumar,1912,Normal operation,None,0.33,2026-05-13
ML-1015,2026-02-15,Reciprocating Compressor C-301,Predictive,R. Kumar,441,Minor leakage observed,Seal,2.21,2026-05-16
ML-1016,2026-02-18,Pump P-102,Corrective,S. Sharma,90,Vibration above threshold,None,1.46,2026-05-19
ML-1017,2026-02-21,Gate Valve V-203,Preventive,N. Gupta,148,Vibration above threshold,None,3.27,2026-05-22
ML-1018,2026-02-24,Centrifugal Pump P-101,Predictive,N. Gupta,1535,Minor leakage observed,None,1.92,2026-05-25
ML-1019,2026-02-27,Reciprocating Compressor C-301,Preventive,S. Sharma,1627,Vibration above threshold,Filter,0.34,2026-05-28
ML-1020,2026-03-02,Centrifugal Pump P-101,Emergency,N. Gupta,145,Vibration above threshold,None,0.23,2026-05-31
ML-1021,2026-03-05,Pump P-102,Predictive,A. Verma,590,Vibration above threshold,Filter,0.12,2026-06-03
ML-1022,2026-03-08,Reciprocating Compressor C-301,Predictive,P. Singh,627,Bearing noise detected,Filter,0.53,2026-06-06
ML-1023,2026-03-11,Pump P-102,Corrective,P. Singh,1101,Vibration above threshold,Gasket,0.81,2026-06-09
ML-1024,2026-03-14,Reciprocating Compressor C-301,Emergency,S. Sharma,1421,Normal operation,None,0.17,2026-06-12
ML-1025,2026-03-17,Centrifugal Pump P-101,Predictive,R. Kumar,677,Seal replaced,None,0.55,2026-06-15
ML-1026,2026-03-20,Reciprocating Compressor C-301,Preventive,N. Gupta,1298,Minor leakage observed,Bearing,0.62,2026-06-18
ML-1027,2026-03-23,Reciprocating Compressor C-301,Corrective,R. Kumar,1765,Normal operation,None,5.35,2026-06-21
ML-1028,2026-03-26,Control Valve V-105,Emergency,S. Sharma,1460,Normal operation,Filter,0.5,2026-06-24
ML-1029,2026-03-29,Centrifugal Pump P-101,Predictive,R. Kumar,51,Bearing noise detected,Gasket,0.08,2026-06-27
ML-1030,2026-04-01,Pump P-102,Emergency,R. Kumar,434,Minor leakage observed,None,0.23,2026-06-30
